ForecastId,ConfirmedCases,Fatalities
1,94.0,4.0
2,110.0,4.0
3,110.0,4.0
4,120.0,4.0
5,170.0,4.0
6,174.0,4.0
7,237.0,4.0
8,273.0,6.0
9,281.0,6.0
10,299.0,7.0
11,349.0,7.0
12,367.0,11.0
13,423.0,14.0
14,423.0,14.0
15,423.0,14.0
16,423.0,14.0
17,423.0,14.0
18,423.0,14.0
19,423.0,14.0
20,423.0,14.0
21,423.0,14.0
22,423.0,14.0
23,423.0,14.0
24,423.0,14.0
25,423.0,14.0
26,423.0,14.0
27,423.0,14.0
28,423.0,14.0
29,423.0,14.0
30,423.0,14.0
31,423.0,14.0
32,423.0,14.0
33,423.0,14.0
34,423.0,14.0
35,423.0,14.0
36,423.0,14.0
37,423.0,14.0
38,423.0,14.0
39,423.0,14.0
40,423.0,14.0
41,423.0,14.0
42,423.0,14.0
43,423.0,14.0
44,174.0,6.0
45,186.0,8.0
46,197.0,10.0
47,212.0,10.0
48,223.0,11.0
49,243.0,15.0
50,259.0,15.0
51,277.0,16.0
52,304.0,17.0
53,333.0,20.0
54,361.0,20.0
55,377.0,21.0
56,383.0,22.0
57,383.0,22.0
58,383.0,22.0
59,383.0,22.0
60,383.0,22.0
61,383.0,22.0
62,383.0,22.0
63,383.0,22.0
64,383.0,22.0
65,383.0,22.0
66,383.0,22.0
67,383.0,22.0
68,383.0,22.0
69,383.0,22.0
70,383.0,22.0
71,383.0,22.0
72,383.0,22.0
73,383.0,22.0
74,383.0,22.0
75,383.0,22.0
76,383.0,22.0
77,383.0,22.0
78,383.0,22.0
79,383.0,22.0
80,383.0,22.0
81,383.0,22.0
82,383.0,22.0
83,383.0,22.0
84,383.0,22.0
85,383.0,22.0
86,383.0,22.0
87,367.0,25.0
88,409.0,26.0
89,454.0,29.0
90,511.0,31.0
91,584.0,35.0
92,716.0,44.0
93,847.0,58.0
94,986.0,86.0
95,1171.0,105.0
96,1251.0,130.0
97,1320.0,152.0
98,1423.0,173.0
99,1468.0,193.0
100,1468.0,193.0
101,1468.0,193.0
102,1468.0,193.0
103,1468.0,193.0
104,1468.0,193.0
105,1468.0,193.0
106,1468.0,193.0
107,1468.0,193.0
108,1468.0,193.0
109,1468.0,193.0
110,1468.0,193.0
111,1468.0,193.0
112,1468.0,193.0
113,1468.0,193.0
114,1468.0,193.0
115,1468.0,193.0
116,1468.0,193.0
117,1468.0,193.0
118,1468.0,193.0
119,1468.0,193.0
120,1468.0,193.0
121,1468.0,193.0
122,1468.0,193.0
123,1468.0,193.0
124,1468.0,193.0
125,1468.0,193.0
126,1468.0,193.0
127,1468.0,193.0
128,1468.0,193.0
129,1468.0,193.0
130,224.0,3.0
131,267.0,3.0
132,308.0,3.0
133,334.0,6.0
134,370.0,8.0
135,376.0,12.0
136,390.0,14.0
137,428.0,15.0
138,439.0,16.0
139,466.0,17.0
140,501.0,18.0
141,525.0,21.0
142,545.0,22.0
143,545.0,22.0
144,545.0,22.0
145,545.0,22.0
146,545.0,22.0
147,545.0,22.0
148,545.0,22.0
149,545.0,22.0
150,545.0,22.0
151,545.0,22.0
152,545.0,22.0
153,545.0,22.0
154,545.0,22.0
155,545.0,22.0
156,545.0,22.0
157,545.0,22.0
158,545.0,22.0
159,545.0,22.0
160,545.0,22.0
161,545.0,22.0
162,545.0,22.0
163,545.0,22.0
164,545.0,22.0
165,545.0,22.0
166,545.0,22.0
167,545.0,22.0
168,545.0,22.0
169,545.0,22.0
170,545.0,22.0
171,545.0,22.0
172,545.0,22.0
173,4.0,0.0
174,4.0,0.0
175,5.0,0.0
176,7.0,2.0
177,7.0,2.0
178,7.0,2.0
179,8.0,2.0
180,8.0,2.0
181,8.0,2.0
182,10.0,2.0
183,14.0,2.0
184,16.0,2.0
185,17.0,2.0
186,17.0,2.0
187,17.0,2.0
188,17.0,2.0
189,17.0,2.0
190,17.0,2.0
191,17.0,2.0
192,17.0,2.0
193,17.0,2.0
194,17.0,2.0
195,17.0,2.0
196,17.0,2.0
197,17.0,2.0
198,17.0,2.0
199,17.0,2.0
200,17.0,2.0
201,17.0,2.0
202,17.0,2.0
203,17.0,2.0
204,17.0,2.0
205,17.0,2.0
206,17.0,2.0
207,17.0,2.0
208,17.0,2.0
209,17.0,2.0
210,17.0,2.0
211,17.0,2.0
212,17.0,2.0
213,17.0,2.0
214,17.0,2.0
215,17.0,2.0
216,7.0,0.0
217,7.0,0.0
218,7.0,0.0
219,7.0,0.0
220,7.0,0.0
221,7.0,0.0
222,7.0,0.0
223,9.0,0.0
224,15.0,0.0
225,15.0,0.0
226,15.0,0.0
227,15.0,0.0
228,19.0,1.0
229,19.0,1.0
230,19.0,1.0
231,19.0,1.0
232,19.0,1.0
233,19.0,1.0
234,19.0,1.0
235,19.0,1.0
236,19.0,1.0
237,19.0,1.0
238,19.0,1.0
239,19.0,1.0
240,19.0,1.0
241,19.0,1.0
242,19.0,1.0
243,19.0,1.0
244,19.0,1.0
245,19.0,1.0
246,19.0,1.0
247,19.0,1.0
248,19.0,1.0
249,19.0,1.0
250,19.0,1.0
251,19.0,1.0
252,19.0,1.0
253,19.0,1.0
254,19.0,1.0
255,19.0,1.0
256,19.0,1.0
257,19.0,1.0
258,19.0,1.0
259,502.0,9.0
260,589.0,13.0
261,690.0,18.0
262,745.0,19.0
263,820.0,23.0
264,1054.0,27.0
265,1054.0,28.0
266,1133.0,36.0
267,1265.0,39.0
268,1451.0,43.0
269,1451.0,44.0
270,1554.0,48.0
271,1628.0,56.0
272,1628.0,56.0
273,1628.0,56.0
274,1628.0,56.0
275,1628.0,56.0
276,1628.0,56.0
277,1628.0,56.0
278,1628.0,56.0
279,1628.0,56.0
280,1628.0,56.0
281,1628.0,56.0
282,1628.0,56.0
283,1628.0,56.0
284,1628.0,56.0
285,1628.0,56.0
286,1628.0,56.0
287,1628.0,56.0
288,1628.0,56.0
289,1628.0,56.0
290,1628.0,56.0
291,1628.0,56.0
292,1628.0,56.0
293,1628.0,56.0
294,1628.0,56.0
295,1628.0,56.0
296,1628.0,56.0
297,1628.0,56.0
298,1628.0,56.0
299,1628.0,56.0
300,1628.0,56.0
301,1628.0,56.0
302,290.0,1.0
303,329.0,1.0
304,407.0,1.0
305,424.0,3.0
306,482.0,3.0
307,532.0,3.0
308,571.0,4.0
309,663.0,7.0
310,736.0,7.0
311,770.0,7.0
312,822.0,7.0
313,833.0,8.0
314,853.0,8.0
315,853.0,8.0
316,853.0,8.0
317,853.0,8.0
318,853.0,8.0
319,853.0,8.0
320,853.0,8.0
321,853.0,8.0
322,853.0,8.0
323,853.0,8.0
324,853.0,8.0
325,853.0,8.0
326,853.0,8.0
327,853.0,8.0
328,853.0,8.0
329,853.0,8.0
330,853.0,8.0
331,853.0,8.0
332,853.0,8.0
333,853.0,8.0
334,853.0,8.0
335,853.0,8.0
336,853.0,8.0
337,853.0,8.0
338,853.0,8.0
